root@server:/opt# ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.3  22120 13304 ?        Ss   16:07   0:00 /sbin/init
root          86  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/1:1H-kblockd]
root          87  0.0  0.0      0     0 ?        I    16:07   0:00 [kworker/0:2-cgroup_release]
root          96  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-charg]
root         145  0.4  0.0      0     0 ?        I    16:07   0:00 [kworker/1:3-events]
root         146  0.0  0.0      0     0 ?        S    16:07   0:00 [scsi_eh_2]
root         147  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-scsi_]
root         168  0.0  0.0      0     0 ?        I    16:07   0:00 [kworker/u6:3-flush-252:0]
root         180  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-kdmfl]
root         209  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-raid5]
root         232  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/0:2H-kblockd]
root         249  0.0  0.0      0     0 ?        S    16:07   0:00 [jbd2/dm-0-8]
root         250  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-ext4-]
root         317  0.0  0.4  50508 17316 ?        S<s  16:07   0:00 /usr/lib/systemd/systemd-journald
root         340  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-kmpat]
root         341  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-kmpat]
root         360  0.0  0.0      0     0 ?        I    16:07   0:00 [kworker/1:4-cgroup_bpf_destroy]
root         371  0.0  0.6 289116 27452 ?        SLsl 16:07   0:00 /sbin/multipathd -d -s
root         390  0.0  0.1  29224  7996 ?        Ss   16:07   0:00 /usr/lib/systemd/systemd-udevd
root         396  0.0  0.0      0     0 ?        S    16:07   0:00 [psimon]
root         464  0.0  0.0      0     0 ?        S    16:07   0:00 [irq/18-vmwgfx]
root         465  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-ttm]
root         531  0.0  0.0      0     0 ?        S    16:07   0:00 [jbd2/sda2-8]
root         532  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-ext4-]
systemd+     566  0.0  0.2  19012  9560 ?        Ss   16:07   0:00 /usr/lib/systemd/systemd-networkd
systemd+     583  0.0  0.3  21596 13056 ?        Ss   16:07   0:00 /usr/lib/systemd/systemd-resolved
systemd+     585  0.0  0.1  91028  7916 ?        Ssl  16:07   0:00 /usr/lib/systemd/systemd-timesyncd
root         610  0.0  0.0      0     0 ?        I    16:07   0:00 [kworker/0:3-cgroup_free]
root         623  0.0  0.0      0     0 ?        I<   16:07   0:00 [kworker/R-cfg80]
message+     696  0.0  0.1   9780  5572 ?        Ss   16:07   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      706  0.0  0.2 308164  8080 ?        Ssl  16:07   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         733  0.0  0.2  18216  8852 ?        Ss   16:07   0:00 /usr/lib/systemd/systemd-logind
root         734  0.0  0.3 468980 13640 ?        Ssl  16:07   0:00 /usr/libexec/udisks2/udisksd
root         752  0.0  0.5 109684 23160 ?        Ssl  16:07   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
syslog       787  0.0  0.1 222508  6144 ?        Ssl  16:07   0:00 /usr/sbin/rsyslogd -n -iNONE
root         819  0.0  0.0      0     0 ?        I    16:07   0:00 [kworker/u4:2]
root         828  0.0  0.3 392100 12800 ?        Ssl  16:07   0:00 /usr/sbin/ModemManager
root         903  0.0  0.0   6824  2904 ?        Ss   16:07   0:00 /usr/sbin/cron -f -P
root         912  0.0  0.1   6948  4904 tty1     Ss   16:07   0:00 /bin/login -p --
root        1034  0.0  0.0      0     0 ?        S    16:07   0:00 [psimon]
user        1036  0.0  0.2  20332 11408 ?        Ss   16:07   0:00 /usr/lib/systemd/systemd --user
user        1037  0.0  0.0  21152  3568 ?        S    16:07   0:00 (sd-pam)
user        1050  0.0  0.1   8652  5640 tty1     S    16:07   0:00 -bash
user        1059  0.0  0.1   7592  4584 tty1     S+   16:07   0:00 nano 123
root        1060  0.0  0.0      0     0 ?        I    16:07   0:00 [kworker/u6:4-events_unbound]
root        1063  0.0  0.2  12024  8296 ?        Ss   16:07   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1064  0.0  0.2  14964 10672 ?        Ss   16:07   0:00 sshd: user [priv]
user        1110  0.0  0.1  15124  7056 ?        S    16:08   0:00 sshd: user@pts/0
user        1111  0.0  0.1   8648  5684 pts/0    Ss   16:08   0:00 -bash
root        1125  0.0  0.1  16900  7472 pts/0    S+   16:08   0:00 sudo su
root        1126  0.0  0.0  16900  2612 pts/1    Ss   16:08   0:00 sudo su
root        1127  0.0  0.1   9376  4556 pts/1    S    16:08   0:00 su
root        1128  0.0  0.1   7604  4492 pts/1    S    16:08   0:00 bash
root        1136  0.0  0.2  14968 10660 ?        Ss   16:08   0:00 sshd: user [priv]
user        1182  0.0  0.1  15128  7060 ?        S    16:08   0:00 sshd: user@pts/2
user        1183  0.0  0.1   8648  5648 pts/2    Ss   16:08   0:00 -bash
user        1192  0.0  0.0   6924  3720 pts/2    S+   16:08   0:00 nano 3456
root        2977  0.0  0.1  10884  4620 pts/1    R+   16:11   0:00 ps aux
